id	title	answers	questionAnswer	zuozhe
61	英国历史学家约翰·索利说：“如今有个趋势，人们怀念它的民主思想，并将其视为所有现代民主思想的源头。”这里的它指的是	斯巴达&&雅典&&罗马帝国&&阿拉伯国家	2	世界古代史
62	马克思说：“希腊内部极盛时期是伯利克里时代。”在伯利克里时代的雅典，国家的最高决策机构是	公民大会&&五百人会议&&陪审法庭&&议会	1	世界古代史
63	以下和诸葛亮有关系的是？	馒头&&太平要术&&黄巾起义&&破釜沉舟	3	世界古代史
64	阿拉伯数字是东方文明的重大成果。创造发明“阿拉伯数字”的是	波斯人&&阿拉伯人&&古印度人&&古埃及人	3	世界古代史
65	楔形文字为人类文明作出了重大贡献，它的创造者是生活在两河流域的	古埃及人&&苏美尔人&&古印度人&&古罗马人	2	世界古代史
66	这是一部不朽的世界文学名作，它再现了古代希腊社会的图景，是研究早期希腊社会的重要史料。这部文学名作是	荷马史诗&&俄底浦斯王&&天方夜谭&&马可·波罗行记	1	世界古代史
67	我们通常所说的公元元年是以哪一宗教人物的出生年来确定的	释迦牟尼&&耶稣&&穆罕默德&&马丁·路德	2	世界古代史
68	乐山宗教协会准备兴建一座伊斯兰教寺庙，你认为设计者应该参考的古建筑是	巴黎圣母院&&麦加清真寺&&印度佛塔&&帕特农神庙	2	世界古代史
69	红十字是舍己救人的记号，医院和红十字会都用它作为标记。但是，在古代它曾是一个残酷的刑具，于耶稣被钉死之后成为赎罪的象征。下列宗教与红十字有关的是	佛教&&道教&&伊斯兰教&&基督教	4	世界古代史
70	下列主张能够体现文艺复兴时期人文主义精神的是	神权至上&&个性解放&&三权分立&&和平发展	2	世界近代史
71	蒙了丽莎是文艺复兴时期哪位艺术家的作品	达·芬奇&&但丁&&莎士比亚&&哥伦布	1	世界近代史
72	关于文艺复兴运动，初三（3）班的同学展开了激烈讨论，下列看法中正确的是	小李认为是一次复古运动&&小王认为是一次宗教改革运动&&小江认为是维护封建专制的思想运动&&小陈认为是资产阶级的思想解放运动	4	世界近代史
73	母亲节是哪一天？	五月第一个星期五&&五月第一个星期日&&五月第二个星期日&&五月第三个星期日	3	世界近代史
74	某班同学正在排练历史剧《哥伦布》，适合“哥伦布”的台词是	我经过70多天的航行，终于到达了印度&&我发现了美洲大陆&&我已经完成了史无前例的环球航行&&我的船队经过了大西洋和太平洋	1	世界近代史
75	重大的科技发明往往能引起生产方式的变革。下列发明出现在第一次工业革命期间并大大地促进了大工厂生产发展的是	蒸汽机的改进&&电灯泡的发明&&互联网的出现&&互联网的出现	1	世界近代史
76	蒸汽革命中，机器的发明和使用最早产生于	采矿业&&运输业&&棉纺织业&&机械制造业	3	世界近代史
77	“五岳”中的东岳指的是？	衡山&&恒山&&泰山&&嵩山	3	世界近代史
78	“五岳”中的中岳指的是？	衡山&&恒山&&泰山&&嵩山	4	世界近代史
79	如果给章西女王画像，我们可以选择的历史情景是	她率领起义军打击西班牙军队&&她在莎拉托加战役中大败英军&&她在攻打巴士底监狱的战斗中&&她率领印度起义军抗击英军	4	世界近代史
80	“委内瑞拉、哥伦比亚、厄瓜多尔、秘鲁和玻利维亚等国驻华大使，每年的6月5日都要到北京朝阳公园向“拉丁美洲解放者”铜像敬献花篮。铜像人物应是	圣马丁&&阿拉法特&&玻利瓦尔&&甘地	3	世界近代史
81	率领军队占领孟加拉，并把当地洗劫一空的殖民头目是	英国人&&印度人&&西班牙人&&荷兰人	1	世界近代史
82	1963年8月28日，美国黑人民权运动的领袖马丁·路德·金在演讲中说道：“100年前，一位伟大的美国人签署了《解放宣言》，我们现在就站在他的纪念堂前。”“一位伟大的美国人”是指是	华盛顿&&林肯&&威尔逊&&罗斯福	2	世界近代史
83	林肯成为美国历史上最受人民爱戴的总统之一的最主要原因是他	扩大了美国领土&&维护了北方资产阶级的利益&&推翻了英国的殖民统治&&解放了黑人奴隶和维护了国家的统一	4	世界近代史
84	下列有关美国独立战争和南北战争共同影响的描述，正确的是	摧毁了英国的殖民统治&&废除了黑人奴隶制&&推动了欧洲和美洲的革命&&有利于资本主义的发展	4	世界近代史
85	某男子生于1821年，40岁时，他的农奴身份被国家统一取消，成为法律上的“自由人”，并自己出钱购买了一块“份地”。使他的身份发生改变的事件是	海地赢得独立&&俄国1861年改革&&日本明治维新&&意大利统一	2	世界近代史
86	1999年，世纪之交，英国广播公司BBC举行民意测验，评选一千年来最伟大的思想家。结果卡尔·马克思当选为“最伟大的思想家”。马克思主义诞生的标志是	《人权宣言》的通过&&《独立宣言》的发表&&共产党宣言》的发表&&《解放黑人奴隶宣言》的颁布	3	世界近代史
87	“无产者在这个革命中失去的只是锁链，他们获得的将是整个世界。”此名言出自下列哪部著名的历史文献？	《权利法案》&&《独立宣言》&&《人权宣言&&《共产党宣言》	4	世界近代史
88	游戏中，招募装备，最高能获得多少品阶的装备？	Z&&A&&B&&C	2	世界近代史
89	当汽车已成为当今不可或缺的生活必需品时，当越来越多的人享受着轮子上行走如风的快乐时，我们不应忘记汽车的发明者是	哥白尼&&富尔顿&&本茨&&史蒂芬孙	3	世界近代史
90	第二次工业革命中诞生的促使世界各国的联系日益密切的工具是	轮船&&飞机&&火车机车&&电子计算机	2	世界近代史
91	19世纪下半期，西方主要是资本主义国家又开始了一场新的技术革命。这次革命是	以蒸汽机为核心的革命&&以电力为核心的革命&&以核能为核心的革命&&以太阳能为核心的革命	2	世界近代史
92	一位学者在论述第二次工业革命时写道：“无论就其深度还是广度而言，第二次工业革命都远远超过第一次工业革命……时至今日，人们仍然时时刻刻地直接感受着它所带来的恩惠。”下列属于第二次工业革命带来的“恩惠”是	汽船火车&&电脑手机&&汽车飞机&&蒸汽机内燃机	3	世界近代史
93	1914年，人类历史上第一次空前规模的世界大战爆发，其导火索是	三国同盟形成&&三国协约形成&&莎拉热窝事件&&德国突袭波兰	3	世界近代史
94	第一次世界大战中，意大利从同盟国集团“叛变”到协约国集团。	国家利益高于一切&&意大利有正义感&&协约国在战争中占优势&&意大利耍两面派手腕	1	世界近代史
95	央视纪录片《大国崛起》中评述。牛顿缔造了工业革命的钥匙，瓦特拿着这把钥匙打开了工业革命的大门。牛顿和瓦特的贡献分别是是	创立了经典力学体系、研制改良蒸汽机&&创立了相对论、研制成功内燃机&&创立了电磁学理论、研制成功飞机&&发明了计算机、制成世界上第一台蒸汽机车	1	世界近代史
96	东西方不少科学家认为：生物学知识将是21世纪人类必须是具备的基础知识。那么，近代生物进化学说的缔造者是	爱迪生&&牛顿&&达尔文&&哥白尼	3	世界近代史
97	为原子弹和原子能的应用提供理论基础的是	进化论&&力学物理体系&&电磁感应原理&&相对论	4	世界近代史
98	把教皇比作“两只脚的禽兽”，把教士比作“文明恶棍”的法国启蒙思想家是	达尔文&&但丁&&牛顿&&伏尔泰	4	世界近代史
99	被誉为“俄国革命的镜子”、“一个天才艺术家”的人是	莎士比亚&&列夫·托尔斯泰&&梵高&&毕加索	2	世界近代史
100	近代世界名画《向日葵》，它的作者是	毕加索&&梵高&&贝多芬&&列夫·托尔斯泰	2	世界近代史
101	贝多芬所创作的歌颂法国资产阶级革命的著名交响曲是	英雄交响曲&&命运交响曲&&田园交响曲&&合唱交响曲	1	世界近代史
102	中国历史上哪个皇帝使用的年号最长?	开元&&崇祯&&贞观&&万历	1	洛奇
103	有一些史学家称1917年是对人类社会发展方向产生重大影响的一年，其主要依据是这一年	美国参加第一次世界大战&&俄国爆发二月革命&&俄国退出帝国主义战争&&俄国爆发十月革命	4	世界现代史
104	1924年，列宁逝世，家住莫斯科的小姑娘尼娜给在国外的父亲写信告知此事，她在信封寄信人的地址栏上应写的国名是	沙皇俄国&&苏维埃俄国&&苏联&&俄罗斯	3	世界现代史
105	苏俄早期的领导人布哈林说：“我们过去认为，我们可以一举消灭市场关系。而实际情况表明，我们恰恰要通过市场关系走向社会主义。”苏俄 “通过市场关系走向社会主义”的政策指的是	“战时共产主义”政策&&新经济政策&&赫鲁晓夫改革&&戈尔巴乔夫改革	2	世界现代史
106	1921年，在列宁的领导下，苏俄开始实施的新经济政策的特点是	突出发展重工业&&实现农业集体化&&大力发展商品经济&&制定国家新宪法	3	世界现代史
107	苏联由传统的农业国家变成强盛的工业国家是在	新经济政策实施后&&苏联成立时&&第一个五年计划完成时&&第二个五年计划完成后	4	世界现代史
108	下列有关罗斯福新政影响的说法，不正确的是	使美国度过了经济危机&&根除了资本主义国家的经济危机&&提高了资本主义国家的垄断程度&&开创了国家大规模干预经济的先河	2	世界现代史
109	第一次世界大战后建立了世界新秩序，形成了新的国际关系格局被称为	维也纳体系&&凡尔赛—华盛顿体系&&雅尔塔体系&&布雷顿森林体系	1	世界现代史
110	凡尔赛—华盛顿体系形成后，资本主义世界经历了短暂的平静期，经济迅速恢复和发展。下列有关其原因的叙述，正确的是	凡尔赛—华盛顿体系暂时确立了战后世界新秩序&&第三次科技革命的影响&&各国纷纷加强对经济的干预&&帝国主义国家之间的矛盾消除	3	世界现代史
111	面对1929—1933年的世界经济危机，通过全面加强国家对经济干预而摆脱困境的是	德国&&日本&&美国&&英国	4	世界现代史
112	罗斯福在一次著名演讲中称：“我向你们保证，我对自己立下誓言，要为美国人民实行新政。”“新政”采取的最重要手段是	整顿银行，恢复信用&&稳定农产品价格&&以工代赈，增加就业&&国家全面干预经济	2	世界现代史
113	世界上最长的运河是哪一条?	中国京杭大运河&&巴拿马运河&&苏伊士运河&&阿尔贝特运河	1	洛奇
114	1932年，某政要指出：“世界近两年正在倒退，各国……采取危机世界和平的猜疑、恐惧和威胁的态度。”出现这一形势的主要原因是	同盟国和协约国军事对峙&&严重的经济危机波及世界&&亚洲战争策源地形成&&慕尼黑会议割让苏台德	4	洛奇
115	我国发现最早的纸币是在哪个时期?	唐朝&&宋朝&&元朝&&明朝	2	洛奇
116	神话《白蛇传》中"白娘娘盗仙草"盗的是	雪莲&&何首乌&&灵芝&&人参	3	洛奇
117	我国最大的瀑布"黄果树瀑布"位于哪个省?	湖南&&贵州&&四川&&江西	2	洛奇
118	山东山西的"山"是指	泰山&&恒山&&沂蒙山&&太行山	4	洛奇
119	下列河流哪一条是世界流程最长	尼罗河&&长江&&亚马孙河&&密西西比河	1	洛奇
120	史书《资治通鉴》是属于哪一类体例的历史?	纪传体&&纪事本末体&&编年体&&国别体	3	洛奇
121	著有"农村三部曲"的著名作家是	巴金&&欧阳山&&郭沫若&&矛盾	4	洛奇
122	铅笔有硬软之分,用英文字母来表示,下列符号相比哪个表示较硬	H&&HB&&B&&2B	1	洛奇
123	天下兴亡,匹夫有责是哪位思想家的名言?	黄宗羲&&顾炎武&&王夫之&&王充	2	洛奇
124	“信天游”是民歌的一种属山歌性质，曲调纯朴、高亢、悠长、节奏自由、你知道它流行于哪一带地方吗?	华北&&西南&&陕北&&北京一带	3	洛奇
125	唐代诗人有称“诗圣”的杜甫“诗仙”的李白等，你可知道被人颂称“诗魔”的是谁?	李商隐&&王维&&刘禹锡&&白居易	4	洛奇
126	红娘是哪部作品中的人物?	《西厢记》&&《红楼梦》&&《红色娘子军》&&《红灯记》	1	洛奇
127	我国煤炭资源主要集中在哪些省市?	陕西、四川、新疆&&陕西、山西、内蒙&&山东、甘肃、新疆&&山西、陕西、安徽	2	洛奇
128	阿姆斯特朗是乘哪个飞船成功登月的?	阿波罗11号&&阿波罗12号&&和平号&&爱国者6号	1	洛奇
129	地球上出现的四季更替是由于	地球自转&&地球公转&&月亮公转&&月亮自转	2	洛奇
130	古代六艺，"礼、乐、射、御、书、数"中的"御"是指	骑马&&杂技&&射箭&&驾车	4	洛奇
131	“战国四公子”中齐国的孟尝君名为	魏无忌&&赵胜&&田文&&黄歇	3	洛奇
132	我们平时常说“如果冬天来了，春天还会远吗?”请问这句名言出自于英国的哪位作家?	雨果&&拜论&&雪莱&&普斯金	3	洛奇
133	泰戈尔是印度著名作家、诗人，于1913年获得诺贝尔文学奖，为其赢得该奖的作品是	《新月集》&&《飞鸟集》&&《园丁集》&&《吉檀迦利》	4	洛奇
134	四大名茶之一的龙井茶产地是	福建安溪&&云南普洱&&河南信阳&&浙江杭州	4	洛奇
135	白菜属于_________科	豆科&&菊科&&十字花科&&蔷薇科	3	洛奇
136	占人体细胞干重50%以上的有机化合	糖元&&蛋白质&&脂肪&&核酸	2	洛奇
137	成年人身上有多少块骨骼	205&&206&&207&&208	2	洛奇
138	康有为的维新思想吸收了西方资本主义政治学说的内容其中最主要的是	民主共和思想&&三权分立学说&&君主立宪思想&&人文主义思想	3	洛奇
139	“我爱吾师，我更爱智慧。”是下列哪位哲学家说的	苏格拉底&&亚历士多德&&尼采&&阿纳克萨格拉	1	洛奇
140	琵琶曲《十面埋伏》描述的是(  )的情景	淝水之战&&赤壁之战&&巨鹿之战&&垓下之战	4	洛奇
141	中国人民政治协商会议是	权力机关&&爱国统一战线组织&&民间社团组织&&政权组织形式	2	洛奇
142	《三国演义》，曹操与刘备煮酒论英雄时喝的是什么酒？	杜康酒&&杨梅酒&&青梅酒&&女儿红	3	洛奇
143	黄河注入___ ___海	黄海&&东海&&南海&&渤海	4	洛奇
144	中国古代“不惑”是指男子多少岁?	20&&40&&50&&60	2	洛奇
145	百日咳的百日是指	咳一百天&&治疗一百天&&病程长度&&百日后死亡	3	洛奇
146	古时，为什么不叫"指北针"?	面北为尊，面南为卑&&面南为尊，面北为卑&&黄帝想去南边&&总得有个名字	2	洛奇
147	吉林省抚松县被人们称为是哪种药材之乡?	当归&&枸杞&&人参&&田七	3	洛奇
148	山城是我国哪座城市的雅号?	洛阳&&西安&&重庆&&福州	3	洛奇
149	世界石油储量最多是哪一个国家?	伊拉克&&伊朗&&科威特&&沙特阿拉伯	4	洛奇
150	下列著名宫殿哪个位于英国?	故宫&&凡尔赛宫&&白金汉宫&&克里姆林宫	3	洛奇
151	下列我国哪个古迹被誉为"世界八大奇迹"	万里长城&&乐山大佛&&秦始皇兵马俑&&敦煌莫高窟	3	洛奇
152	我国古代项羽"破釜沉舟"战胜秦军是在哪次战役?	牧野之战&&巨鹿之战&&淝水之战&&官渡之战	2	洛奇
153	史书《汉书》是哪位史学家所著?	司马迁&&司马光&&左丘明&&班固	4	洛奇
154	下列我国军事家中哪位不是"十大元帅"之一?	叶剑英&&林彪&&罗荣恒&&邓小平	4	洛奇
155	比喻变被动为主动是"三十六计"中的哪一计?	声东击西&&李代桃僵&&欲擒故纵&&反客为主	4	洛奇
156	洲际导弹的射程一般在多少公里以上?	一百&&一千&&一万&&十万	3	洛奇
157	隐形飞机是指什么样的飞机?	肉眼看不见&&飞行太高看不见&&体积太小&&雷达监测不到	4	洛奇
158	我国卫星火箭发射基地"西昌"位于	西藏&&新疆&&四川&&青海	3	洛奇
159	古代军事家曹操是哪个时期的人物?	西汉&&东汉&&三国&&南北朝	2	洛奇
160	成语"闻鸡起舞""中流击楫"是出自哪个古代将领的故事?	岳飞&&戚继光&&祖逖&&郑成功	3	洛奇
161	目前世界纪元(公元前后的划分)的方法是以什么为标准	伊斯兰教&&佛教&&犹太教&&耶稣基督教	4	洛奇
162	下列哪个尊称是对古代太子的尊称	陛下&&阁下&&殿下&&私下	3	洛奇
163	美国第一任总统是谁?	林肯&&华盛顿&&杜鲁门&&罗斯福	2	洛奇
164	我国是在哪个时期进入奴隶社会的?	夏&&商&&战国&&秦	1	洛奇
165	下列农民起义哪次是洪秀全领导的	大泽乡起义&&黄巾起义&&赤眉起义&&金田起义	4	洛奇
166	下列历史上的事变是李世民发动的	陈桥兵变&&玄武门之变&&靖康之变&&以上都是	2	洛奇
167	被称为酿酒行业的祖师是谁?	孔子&&鲁班&&柳永&&杜康	4	洛奇
168	文房四宝中的毛笔是谁发明的?	乐毅&&闻仲&&蒙恬&&刘伯温	3	洛奇
169	到了明朝已形成完备的封建科举考试制度，共分四级。下边排列的四级考试哪项正确?	院试─会试─乡试─殿试&&乡试─会试─院试─殿试&&乡试─院试─会试─殿试&&院试─乡试─会试─殿试	4	洛奇
170	红军长征中,哪次战役最突出反映毛泽东军事思想和指挥才能?	四渡赤水&&轮渡大渡河&&飞夺泸定桥&&直罗镇战役	1	洛奇
171	我国第一颗氢弹研制成功是在哪一年?	1960&&1962&&1965&&1967	4	洛奇
172	以下哪一个是联合国安理会常任理事国之一?	意大利&&法国&&德国&&日本	2	洛奇
173	杜甫《望岳》：“岱宗夫如何，齐鲁青未了”中的“岱宗”指的是	华山&&恒山&&泰山&&嵩山	3	洛奇
174	被称为我国最大的古典艺术宝库的石窟是哪一个?	甘肃敦煌莫高窟&&新疆千佛洞&&云岗石窟&&龙门石窟	1	洛奇
175	冬天倒开水时，容易爆破的杯子是	很薄的玻璃杯&&很厚的玻璃杯&&越高的&&没区别	2	洛奇
176	“三原色”是指	红、黄、蓝&&红、黄、青&&红、绿、蓝&&黄、蓝、青	1	洛奇
